"","season","week","order","contestant","song","artist","song_theme","result"
"1300","Season_10","songs_13",1,"James Durbin","Don't Stop Believin'","Journey","Inspiration Song","Eliminated"
"1301","Season_10","songs_13",2,"Haley Reinhart","Earth Song","Michael Jackson","Inspiration Song","Safe"
"1302","Season_10","songs_13",3,"Scotty McCreery","Where Were You (When the World Stopped Turning)","FLAG","Inspiration Song","Safe"
"1303","Season_10","songs_13",4,"Lauren Alaina","Anyway","Noah Kahan","Inspiration Song","Safe"
"1304","Season_10","songs_13",5,"Haley Reinhart","I","Who Have Nothing",NA,"Safe"
"1305","Season_10","songs_13",6,"Scotty McCreery","Young Blood","The Naked And Famous",NA,"Safe"
"1306","Season_10","songs_13",7,"Lauren Alaina","Trouble","Josh Ross",NA,"Safe"
"1307","Season_10","songs_13",8,"James Durbin","Love Potion No. 9","The Searchers",NA,"Eliminated"
"1308","Season_10","songs_14",1,"Scotty McCreery","Amazed","Lonestar","Contestant Choice","Safe"
"1309","Season_10","songs_14",2,"Lauren Alaina","Wild One","Faith Hill","Contestant Choice","Safe"
"1310","Season_10","songs_14",3,"Haley Reinhart","What Is and What Should Never Be","Led Zeppelin","Contestant Choice","Third place"
"1311","Season_10","songs_14",4,"Scotty McCreery","Are You Gonna Kiss Me or Not","Thompson Square","Mentor Choice","Safe"
"1312","Season_10","songs_14",5,"Lauren Alaina","If I Die Young","The Band Perry","Mentor Choice","Safe"
"1313","Season_10","songs_14",6,"Haley Reinhart","Rhiannon","Fleetwood Mac","Mentor Choice","Third place"
"1314","Season_10","songs_14",7,"Scotty McCreery","She Believes in Me","Kenny Rogers","Judges Choice","Safe"
"1315","Season_10","songs_14",8,"Lauren Alaina","I Hope You Dance","Lee Ann Womack","Judges Choice","Safe"
"1316","Season_10","songs_14",9,"Haley Reinhart","You Oughta Know","Alanis Morissette","Judges Choice","Third place"
"1317","Season_10","songs_15",1,"Scotty McCreery","Check Yes or No","George Strait","Idol Song","Winner"
"1318","Season_10","songs_15",2,"Lauren Alaina","Maybe It Was Memphis","Pam Tillis","Idol Song","Runner-up"
"1319","Season_10","songs_15",3,"Scotty McCreery","I Love You This Big","Scotty McCreery","Winner Song","Winner"
"1320","Season_10","songs_15",4,"Lauren Alaina","Like My Mother Does","Lauren Alaina","Winner Song","Runner-up"
"1321","Season_11","20120222_final_judgement_part_1",1,"Reed Grimm","Moves Like Jagger","Maroon 5,Christina Aguilera",NA,"Wild Card"
"1322","Season_11","20120222_final_judgement_part_1",2,"Adam Brock","Think","Aretha Franklin",NA,"Eliminated"
"1323","Season_11","20120222_final_judgement_part_1",3,"DeAndre Brackensick","Reasons","Earth, Wind & Fire",NA,"Wild Card"
"1324","Season_11","20120222_final_judgement_part_1",4,"Colton Dixon","Decode","Paramore",NA,"Advanced"
"1325","Season_11","20120222_final_judgement_part_1",5,"Jeremy Rosado","Gravity","John Mayer",NA,"Wild Card"
"1326","Season_11","20120222_final_judgement_part_1",6,"Aaron Marcellus","Never Can Say Goodbye","The Jackson 5",NA,"Eliminated"
"1327","Season_11","20120222_final_judgement_part_1",7,"Chase Likens","Storm Warning","Bonnie Raitt",NA,"Eliminated"
"1328","Season_11","20120222_final_judgement_part_1",8,"Creighton Fraker","True Colors","Cyndi Lauper",NA,"Eliminated"
"1329","Season_11","20120222_final_judgement_part_1",9,"Phillip Phillips","In the Air Tonight","Phil Collins",NA,"Advanced"
"1330","Season_11","20120222_final_judgement_part_1",10,"Eben Franckewitz","Set Fire to the Rain","Adele",NA,"Eliminated"
"1331","Season_11","20120222_final_judgement_part_1",11,"Heejun Han","Angels","Thomas Rhett",NA,"Advanced"
"1332","Season_11","20120222_final_judgement_part_1",12,"Joshua Ledet","You Pulled Me Through","Jennifer Hudson",NA,"Advanced"
"1333","Season_11","20120222_final_judgement_part_1",13,"Jermaine Jones","Dance with My Father","Orleans",NA,"Advanced"
"1334","Season_11","20120223_final_judgement_part_2",1,"Chelsea Sorrell","Cowboy Casanova","Carrie Underwood",NA,"Eliminated"
"1335","Season_11","20120223_final_judgement_part_2",2,"Erika Van Pelt","What About Love","Heart",NA,"Wild Card"
"1336","Season_11","20120223_final_judgement_part_2",3,"Jen Hirsh","One and Only","Adele",NA,"Wild Card"
"1337","Season_11","20120223_final_judgement_part_2",4,"Brielle Von Hugel","(Sittin' On) The Dock of the Bay","Otis Redding",NA,"Wild Card"
"1338","Season_11","20120223_final_judgement_part_2",5,"Hallie Day","Feeling Good","Michael Bublé",NA,"Eliminated"
"1339","Season_11","20120223_final_judgement_part_2",6,"Skylar Laine","Stay with Me","Miki Matsubara",NA,"Advanced"
"1340","Season_11","20120223_final_judgement_part_2",7,"Baylie Brown","Amazed","Lonestar",NA,"Eliminated"
"1341","Season_11","20120223_final_judgement_part_2",8,"Hollie Cavanagh","Reflection","Lea Salonga,Disney",NA,"Advanced"
"1342","Season_11","20120223_final_judgement_part_2",9,"Haley Johnsen","Sweet Dreams","Are Made of This",NA,"Eliminated"
"1343","Season_11","20120223_final_judgement_part_2",10,"Shannon Magrane","Go Light Your World","Kathy Troccoli",NA,"Advanced"
"1344","Season_11","20120223_final_judgement_part_2",11,"Jessica Sanchez","Love You I Do","Jennifer Hudson",NA,"Advanced"
"1345","Season_11","20120223_final_judgement_part_2",12,"Elise Testone","One and Only","Adele",NA,"Advanced"
"1346","Season_11","20120223_final_judgement_part_2",13,"—","—","Aisha Orazbayeva",NA,"—"
"1347","Season_11","20120228_semifinalists_boys_perform",1,"Jen Hirsh","Oh! Darling","The Beatles",NA,"Eliminated"
"1348","Season_11","20120228_semifinalists_boys_perform",2,"Jeremy Rosado","I Know You Won't","Carrie Underwood",NA,"Wild Card"
"1349","Season_11","20120228_semifinalists_boys_perform",3,"Brielle Von Hugel","Someone Like You","Van Morrison",NA,"Eliminated"
"1350","Season_11","20120228_semifinalists_boys_perform",4,"DeAndre Brackensick","Georgia on My Mind","Oscar Peterson Trio",NA,"Wild Card"
"1351","Season_11","20120228_semifinalists_boys_perform",5,"Erika Van Pelt","The Edge of Glory","Lady Gaga",NA,"Wild Card"
"1352","Season_11","20120228_semifinalists_boys_perform",6,"Reed Grimm","Use Me","Bill Withers",NA,"Eliminated"
"1353","Season_11","20120229_semifinalists_girls_perform",1,"Joshua Ledet","I Wish","Skee-Lo",NA,"Bottom three (Males)"
"1354","Season_11","20120229_semifinalists_girls_perform",2,"Elise Testone","I'm Your Baby Tonight","Whitney Houston",NA,"Top 13 save"
"1355","Season_11","20120229_semifinalists_girls_perform",3,"Jermaine Jones","Knocks Me Off My Feet","Stevie Wonder",NA,"Bottom two (Males)"
"1356","Season_11","20120229_semifinalists_girls_perform",4,"Erika Van Pelt","I Believe in You and Me","Don Williams",NA,"Bottom three (Female)"
"1357","Season_11","20120229_semifinalists_girls_perform",5,"Colton Dixon","Lately","Mike Sherm",NA,"Safe"
"1358","Season_11","20120229_semifinalists_girls_perform",6,"Shannon Magrane","I Have Nothing","Whitney Houston",NA,"Bottom two (Female)"
"1359","Season_11","20120229_semifinalists_girls_perform",7,"DeAndre Brackensick","Master Blaster","Jammin'",NA,"Safe"
"1360","Season_11","20120229_semifinalists_girls_perform",8,"Skylar Laine","Where Do Broken Hearts Go","Whitney Houston",NA,"Safe"
"1361","Season_11","20120229_semifinalists_girls_perform",9,"Heejun Han","All in Love Is Fair","Stevie Wonder",NA,"Safe"
"1362","Season_11","20120229_semifinalists_girls_perform",10,"Hollie Cavanagh","All the Man That I Need","Whitney Houston",NA,"Safe"
"1363","Season_11","20120229_semifinalists_girls_perform",11,"Jeremy Rosado","Ribbon in the Sky","Rod Wave",NA,"Eliminated"
"1364","Season_11","20120229_semifinalists_girls_perform",12,"Jessica Sanchez","I Will Always Love You","Dolly Parton",NA,"Safe"
"1365","Season_11","20120229_semifinalists_girls_perform",13,"Phillip Phillips","Superstition","Stevie Wonder",NA,"Safe"
"1366","Season_11","20120307_top_13_perform",1,"Phillip Phillips","Hard to Handle","The Black Crowes",NA,"Safe"
"1367","Season_11","20120307_top_13_perform",2,"Jessica Sanchez","Turn the Beat Around","Vicki Sue Robinson",NA,"Safe"
"1368","Season_11","20120307_top_13_perform",3,"Heejun Han","Right Here Waiting","Richard Marx",NA,"Safe"
"1369","Season_11","20120307_top_13_perform",4,"Elise Testone","Let's Stay Together","Al Green",NA,"Bottom three"
"1370","Season_11","20120307_top_13_perform",5,"DeAndre Brackensick","Endless Love","Lionel Richie,Diana Ross",NA,"Safe"
"1371","Season_11","20120307_top_13_perform",6,"Shannon Magrane","One Sweet Day","Mariah Carey,Boyz II Men",NA,"Eliminated"
"1372","Season_11","20120307_top_13_perform",7,"Colton Dixon","Broken Heart","Synar0",NA,"Safe"
"1373","Season_11","20120307_top_13_perform",8,"Erika Van Pelt","Heaven","Kane Brown",NA,"Bottom three"
"1374","Season_11","20120307_top_13_perform",9,"Skylar Laine","Love Sneakin' Up On You","Bonnie Raitt",NA,"Safe"
"1375","Season_11","20120307_top_13_perform",10,"Joshua Ledet","When a Man Loves a Woman","Percy Sledge",NA,"Safe"
"1376","Season_11","20120307_top_13_perform",11,"Hollie Cavanagh","The Power of Love","Jennifer Rush",NA,"Safe"
"1377","Season_11","20120314_top_11_perform",1,"DeAndre Brackensick","Only the Good Die Young","Billy Joel",NA,"Bottom three"
"1378","Season_11","20120314_top_11_perform",2,"Erika Van Pelt","New York State of Mind","Billy Joel",NA,"Eliminated"
"1379","Season_11","20120314_top_11_perform",3,"Joshua Ledet","She's Got a Way","Billy Joel",NA,"Safe"
"1380","Season_11","20120314_top_11_perform",4,"Skylar Laine","Shameless","Camila Cabello",NA,"Safe"
"1381","Season_11","20120314_top_11_perform",5,"Elise Testone","Vienna","Billy Joel",NA,"Safe"
"1382","Season_11","20120314_top_11_perform",6,"Phillip Phillips","Movin' Out","Anthony's Song",NA,"Safe"
"1383","Season_11","20120314_top_11_perform",7,"Hollie Cavanagh","Honesty","Pink Sweat$",NA,"Safe"
"1384","Season_11","20120314_top_11_perform",8,"Heejun Han","My Life","Billy Joel",NA,"Bottom three"
"1385","Season_11","20120314_top_11_perform",9,"Jessica Sanchez","Everybody Has a Dream","Billy Joel",NA,"Safe"
"1386","Season_11","20120314_top_11_perform",10,"Colton Dixon","Piano Man","Billy Joel",NA,"Safe"
"1387","Season_11","20120321_top_10_perform",1,"Colton Dixon","Everything","Austin Brown","Solo Song","Safe"
"1388","Season_11","20120321_top_10_perform",2,"Skylar Laine","Gunpowder & Lead","Miranda Lambert","Solo Song","Bottom three"
"1389","Season_11","20120321_top_10_perform",3,"Colton Dixon","Landslide / Edge of Seventeen / Don't Stop","Stevie Nicks","Duet Song","Safe"
"1390","Season_11","20120321_top_10_perform",3,"Phillip Phillips","Landslide / Edge of Seventeen / Don't Stop","Stevie Nicks","Duet Song","Safe"
"1391","Season_11","20120321_top_10_perform",3,"Elise Testone","Landslide / Edge of Seventeen / Don't Stop","Stevie Nicks","Duet Song","Safe"
"1392","Season_11","20120321_top_10_perform",4,"Heejun Han","A Song for You","Leon Russell","Solo Song","Eliminated"
"1393","Season_11","20120321_top_10_perform",5,"Hollie Cavanagh","Jesus, Take the Wheel","Carrie Underwood","Solo Song","Bottom three"
"1394","Season_11","20120321_top_10_perform",6,"DeAndre Brackensick","Sometimes I Cry","Jason Crabb","Solo Song","Safe"
"1395","Season_11","20120321_top_10_perform",7,"Jessica Sanchez","Sweet Dreams","Eurythmics,Annie Lennox,Dave Stewart","Solo Song","Safe"
"1396","Season_11","20120321_top_10_perform",8,"Heejun Han","The Lady in My Life /Rock with You / P.Y.T.","Pretty Young Thing","Duet Song","Eliminated"
"1397","Season_11","20120321_top_10_perform",8,"DeAndre Brackensick","The Lady in My Life /Rock with You / P.Y.T.","Pretty Young Thing","Duet Song","Safe"
"1398","Season_11","20120321_top_10_perform",8,"Joshua Ledet","The Lady in My Life /Rock with You / P.Y.T.","Pretty Young Thing","Duet Song","Safe"
"1399","Season_11","20120321_top_10_perform",9,"Phillip Phillips","Still Rainin'","Billy Joel","Solo Song","Safe"
"1400","Season_11","20120321_top_10_perform",10,"Joshua Ledet","Without You","Lana Del Rey","Solo Song","Safe"
"1401","Season_11","20120321_top_10_perform",11,"Skylar Laine","Like a Prayer / Borderline / Express Yourself","Mosaic Whispers","Duet Song","Bottom three"
"1402","Season_11","20120321_top_10_perform",11,"Hollie Cavanagh","Like a Prayer / Borderline / Express Yourself","Mosaic Whispers","Duet Song","Bottom three"
"1403","Season_11","20120321_top_10_perform",11,"Jessica Sanchez","Like a Prayer / Borderline / Express Yourself","Mosaic Whispers","Duet Song","Safe"
"1404","Season_11","20120321_top_10_perform",12,"Elise Testone","Whole Lotta Love","Led Zeppelin","Solo Song","Safe"
"1405","Season_11","20120328_top_9_perform",1,"DeAndre Brackensick","I Like It","Tim McGraw","1980s Song","Eliminated"
"1406","Season_11","20120328_top_9_perform",2,"Elise Testone","I Want to Know What Love Is","Foreigner","1980s Song","Bottom three"
"1407","Season_11","20120328_top_9_perform",3,"Colton Dixon","Islands in the Stream","Dolly Parton,Kenny Rogers","Duet Song","Safe"
"1408","Season_11","20120328_top_9_perform",3,"Skylar Laine","Islands in the Stream","Dolly Parton,Kenny Rogers","Duet Song","Safe"
"1409","Season_11","20120328_top_9_perform",4,"Phillip Phillips","That's All","Elvis Presley","1980s Song","Safe"
"1410","Season_11","20120328_top_9_perform",5,"DeAndre Brackensick","I'm So Excited","The Pointer Sisters","Duet Song","Eliminated"
"1411","Season_11","20120328_top_9_perform",5,"Hollie Cavanagh","I'm So Excited","The Pointer Sisters","Duet Song","Bottom three"
"1412","Season_11","20120328_top_9_perform",6,"Joshua Ledet","If You Don't Know Me by Now","Harold Melvin & The Blue Notes,Teddy Pendergrass","1980s Song","Safe"
"1413","Season_11","20120328_top_9_perform",7,"Jessica Sanchez","How Will I Know","Whitney Houston","1980s Song","Safe"
"1414","Season_11","20120328_top_9_perform",8,"Elise Testone","Stop Draggin' My Heart Around","Stevie Nicks,Tom Petty and the Heartbreakers","Duet Song","Bottom three"
"1415","Season_11","20120328_top_9_perform",8,"Phillip Phillips","Stop Draggin' My Heart Around","Stevie Nicks,Tom Petty and the Heartbreakers","Duet Song","Safe"
"1416","Season_11","20120328_top_9_perform",9,"Hollie Cavanagh","Flashdance... What a Feeling","Irene Cara","1980s Song","Bottom three"
"1417","Season_11","20120328_top_9_perform",10,"Joshua Ledet","I Knew You Were Waiting","For Me","Duet Song","Safe"
"1418","Season_11","20120328_top_9_perform",10,"Jessica Sanchez","I Knew You Were Waiting","For Me","Duet Song","Safe"
"1419","Season_11","20120328_top_9_perform",11,"Colton Dixon","Time After Time","Cyndi Lauper","1980s Song","Safe"
"1420","Season_11","20120328_top_9_perform",12,"Skylar Laine","Wind Beneath My Wings","Bette Midler","1980s Song","Safe"
"1421","Season_11","20120404_top_8_perform",1,"Skylar Laine","Didn't You Know How Much I Loved You","Kellie Pickler","2010s Song","Safe"
"1422","Season_11","20120404_top_8_perform",2,"Colton Dixon","Love the Way You Lie","Eminem,Rihanna","2010s Song","Safe"
"1423","Season_11","20120404_top_8_perform",3,"Phillip Phillips","Somebody That I Used to Know","Gotye,Kimbra","Duet Song","Safe"
"1424","Season_11","20120404_top_8_perform",3,"Elise Testone","Somebody That I Used to Know","Gotye,Kimbra","Duet Song","Bottom three"
"1425","Season_11","20120404_top_8_perform",4,"Jessica Sanchez","Stuttering","Fefe Dobson","2010s Song","Judge's Save"
"1426","Season_11","20120404_top_8_perform",5,"Joshua Ledet","Runaway Baby","Bruno Mars","2010s Song","Bottom three"
"1427","Season_11","20120404_top_8_perform",6,"Skylar Laine","Don't You Wanna Stay","Jason Aldean,Kelly Clarkson","Duet Song","Safe"
"1428","Season_11","20120404_top_8_perform",6,"Colton Dixon","Don't You Wanna Stay","Jason Aldean,Kelly Clarkson","Duet Song","Safe"
"1429","Season_11","20120404_top_8_perform",7,"Hollie Cavanagh","Fuckin' Perfect","P!nk","2010s Song","Safe"
"1430","Season_11","20120404_top_8_perform",8,"Phillip Phillips","Give a Little More","Supertramp","2010s Song","Safe"
"1431","Season_11","20120404_top_8_perform",9,"Jessica Sanchez","Stronger","What Doesn't Kill You","Duet Song","Judge's Save"
"1432","Season_11","20120404_top_8_perform",9,"Joshua Ledet","Stronger","What Doesn't Kill You","Duet Song","Bottom three"
"1433","Season_11","20120404_top_8_perform",9,"Hollie Cavanagh","Stronger","What Doesn't Kill You","Duet Song","Safe"
"1434","Season_11","20120404_top_8_perform",10,"Elise Testone","You and I","Lady Gaga","2010s Song","Bottom three"
"1435","Season_11","20120411_top_7_perform",1,"Hollie Cavanagh","Rolling in the Deep","Adele","Now Song","Bottom three"
"1436","Season_11","20120411_top_7_perform",2,"Colton Dixon","Bad Romance","Lady Gaga","Now Song","Eliminated"
"1437","Season_11","20120411_top_7_perform",3,"Elise Testone","No One","Queens of the Stone Age","Now Song","Bottom three"
"1438","Season_11","20120411_top_7_perform",4,"Phillip Phillips","U Got It Bad","USHER","Now Song","Safe"
"1439","Season_11","20120411_top_7_perform",5,"Jessica Sanchez","Fallin'","Alicia Keys","Now Song","Safe"
"1440","Season_11","20120411_top_7_perform",6,"Skylar Laine","Born This Way","Lady Gaga","Now Song","Safe"
"1441","Season_11","20120411_top_7_perform",7,"Joshua Ledet","I Believe","The Darkness","Now Song","Safe"
"1442","Season_11","20120411_top_7_perform",8,"Hollie Cavanagh","Son of a Preacher Man","Dusty Springfield","Then Song","Bottom three"
"1443","Season_11","20120411_top_7_perform",9,"Colton Dixon","September","Earth, Wind & Fire","Then Song","Eliminated"
"1444","Season_11","20120411_top_7_perform",10,"Elise Testone","Let's Get It On","Marvin Gaye","Then Song","Bottom three"
"1445","Season_11","20120411_top_7_perform",11,"Phillip Phillips","In the Midnight Hour","Wilson Pickett","Then Song","Safe"
"1446","Season_11","20120411_top_7_perform",12,"Jessica Sanchez","Try a Little Tenderness","Otis Redding","Then Song","Safe"
"1447","Season_11","20120411_top_7_perform",13,"Skylar Laine","I Heard It Through the Grapevine","Marvin Gaye","Then Song","Safe"
"1448","Season_11","20120411_top_7_perform",14,"Joshua Ledet","A Change Is Gonna Come","Sam Cooke","Then Song","Safe"
"1449","Season_11","20120418_top_7_redux_perform",1,"Jessica Sanchez","Bohemian Rhapsody","Queen","Queen Song","Safe"
"1450","Season_11","20120418_top_7_redux_perform",2,"Skylar Laine","The Show Must Go On","Queen","Queen Song","Bottom three"
"1451","Season_11","20120418_top_7_redux_perform",3,"Joshua Ledet","Crazy Little Thing Called Love","Queen","Queen Song","Safe"
"1452","Season_11","20120418_top_7_redux_perform",4,"Elise Testone","I Want It All","Queen","Queen Song","Eliminated"
"1453","Season_11","20120418_top_7_redux_perform",5,"Phillip Phillips","Fat Bottomed Girls","Queen","Queen Song","Safe"
"1454","Season_11","20120418_top_7_redux_perform",6,"Hollie Cavanagh","Save Me","BTS","Queen Song","Bottom two"
"1455","Season_11","20120418_top_7_redux_perform",7,"Jessica Sanchez","Dance with My Father","Orleans","Solo Song","Safe"
"1456","Season_11","20120418_top_7_redux_perform",8,"Skylar Laine","Tattoos on This Town","Jason Aldean","Solo Song","Bottom three"
"1457","Season_11","20120418_top_7_redux_perform",9,"Joshua Ledet","Ready for Love","BLACKPINK","Solo Song","Safe"
"1458","Season_11","20120418_top_7_redux_perform",10,"Elise Testone","Bold as Love","Jimi Hendrix","Solo Song","Eliminated"
"1459","Season_11","20120418_top_7_redux_perform",11,"Phillip Phillips","The Stone","Dave Matthews Band","Solo Song","Safe"
"1460","Season_11","20120418_top_7_redux_perform",12,"Hollie Cavanagh","The Climb","Miley Cyrus","Solo Song","Bottom two"
"1461","Season_11","20120425_top_6_perform",1,"Hollie Cavanagh","River Deep – Mountain High","Ike & Tina Turner","1960s Song","Bottom two"
"1462","Season_11","20120425_top_6_perform",2,"Phillip Phillips","The Letter","The Box Tops","1960s Song","Safe"
"1463","Season_11","20120425_top_6_perform",3,"Skylar Laine","Fortunate Son","Creedence Clearwater Revival","1960s Song","Eliminated"
"1464","Season_11","20120425_top_6_perform",4,"Phillip Phillips","Joshua Ledet","Terrell Grice,Jaden Gray,Sheléa,Joshua Ledet","Duet Partner","Safe"
"1465","Season_11","20120425_top_6_perform",4,"Joshua Ledet","Phillip Phillips","Phillip Phillips","Duet Partner","Safe"
"1466","Season_11","20120425_top_6_perform",5,"Jessica Sanchez","Proud Mary","Creedence Clearwater Revival","1960s Song","Safe"
"1467","Season_11","20120425_top_6_perform",6,"Joshua Ledet","Ain't Too Proud to Beg","The Temptations","1960s Song","Safe"
"1468","Season_11","20120425_top_6_perform",7,"Hollie Cavanagh","Bleeding Love","Leona Lewis","Pop Song","Bottom two"
"1469","Season_11","20120425_top_6_perform",8,"Phillip Phillips","Time of the Season","The Zombies","Pop Song","Safe"
"1470","Season_11","20120425_top_6_perform",9,"Hollie Cavanagh","Skylar Laine and Jessica Sanchez","Jessica Simpson","Duet Partner","Bottom two"
"1471","Season_11","20120425_top_6_perform",9,"Skylar Laine","Hollie Cavanagh and Jessica Sanchez","Jessica Simpson","Duet Partner","Eliminated"
"1472","Season_11","20120425_top_6_perform",9,"Jessica Sanchez","Hollie Cavanagh and Skylar Laine","Horace Andy","Duet Partner","Safe"
"1473","Season_11","20120425_top_6_perform",10,"Skylar Laine","You Don't Have to Say You Love Me","Dusty Springfield","Pop Song","Eliminated"
"1474","Season_11","20120425_top_6_perform",11,"Jessica Sanchez","You Are So Beautiful","Joe Cocker","Pop Song","Safe"
"1475","Season_11","20120425_top_6_perform",12,"Joshua Ledet","To Love Somebody","Bee Gees","Pop Song","Safe"
"1476","Season_11","20120502_top_5_perform",1,"Phillip Phillips","Have You Ever Seen the Rain?","Creedence Clearwater Revival","Californian Song","Safe"
"1477","Season_11","20120502_top_5_perform",2,"Hollie Cavanagh","Faithfully","Journey","Californian Song","Eliminated"
"1478","Season_11","20120502_top_5_perform",3,"Joshua Ledet","You Raise Me Up","Josh Groban","Californian Song","Safe"
"1479","Season_11","20120502_top_5_perform",4,"Jessica Sanchez","Steal Away","Etta James","Californian Song","Safe"
"1480","Season_11","20120502_top_5_perform",5,"Phillip Phillips","Joshua Ledet","Terrell Grice,Jaden Gray,Sheléa,Joshua Ledet","Duet Partner","Safe"
"1481","Season_11","20120502_top_5_perform",5,"Joshua Ledet","Phillip Phillips","Phillip Phillips","Duet Partner","Safe"
"1482","Season_11","20120502_top_5_perform",6,"Hollie Cavanagh","Jessica Sanchez","Jessica Sanchez,Ne-Yo","Duet Partner","Eliminated"
"1483","Season_11","20120502_top_5_perform",6,"Jessica Sanchez","Hollie Cavanagh","Hollie Cook","Duet Partner","Safe"
"1484","Season_11","20120502_top_5_perform",8,"Phillip Phillips","Volcano","Jimmy Buffett","Wish Song","Safe"
"1485","Season_11","20120502_top_5_perform",9,"Hollie Cavanagh","I Can't Make You Love Me","Bonnie Raitt","Wish Song","Eliminated"
"1486","Season_11","20120502_top_5_perform",10,"Joshua Ledet","It's a Man's Man's Man's World","James Brown & The Famous Flames","Wish Song","Safe"
"1487","Season_11","20120502_top_5_perform",11,"Jessica Sanchez","And I Am Telling You I'm Not Going","Jennifer Holliday","Wish Song","Safe"
"1488","Season_11","20120509_top_4_perform",1,"Joshua Ledet","I'd Rather Go Blind","Etta James","Judge Choice","Third place"
"1489","Season_11","20120509_top_4_perform",2,"Jessica Sanchez","My All","Mariah Carey","Judge Choice","Safe"
"1490","Season_11","20120509_top_4_perform",3,"Phillip Phillips","Beggin'","Måneskin","Judge Choice","Safe"
"1491","Season_11","20120509_top_4_perform",4,"Joshua Ledet","Imagine","John Lennon","Contestant Choice","Third place"
"1492","Season_11","20120509_top_4_perform",5,"Jessica Sanchez","I Don't Want to Miss a Thing","Aerosmith","Contestant Choice","Safe"
"1493","Season_11","20120509_top_4_perform",6,"Phillip Phillips","Disease","Beartooth","Contestant Choice","Safe"
"1494","Season_11","20120509_top_4_perform",7,"Joshua Ledet","No More Drama","Mary J. Blige","Mentor Choice","Third place"
"1495","Season_11","20120509_top_4_perform",8,"Jessica Sanchez","I'll Be There","The Rembrandts","Mentor Choice","Safe"
"1496","Season_11","20120509_top_4_perform",9,"Phillip Phillips","We've Got Tonight","Bob Seger","Mentor Choice","Safe"
"1497","Season_11","20120516_top_3_perform",1,"Jessica Sanchez","I Have Nothing","Whitney Houston","Producer Choice","Runner-up"
"1498","Season_11","20120516_top_3_perform",2,"Phillip Phillips","Stand by Me","Ben E. King","Producer Choice","Winner"
"1499","Season_11","20120516_top_3_perform",3,"Jessica Sanchez","The Prayer","Céline Dion,Andrea Bocelli","Favorite Performance","Runner-up"
"1500","Season_11","20120516_top_3_perform",4,"Phillip Phillips","Movin' Out","Anthony's Song","Favorite Performance","Winner"
"1501","Season_11","20120516_top_3_perform",5,"Jessica Sanchez","Change Nothing","Nipsey Hussle","Winner Single","Runner-up"
"1502","Season_11","20120516_top_3_perform",6,"Phillip Phillips","Home","Edward Sharpe & The Magnetic Zeros","Winner Single","Winner"
"1503","Season_12","20130220_las_vegas_girls_perform",1,"Jenny Beth Willis","Heaven, Heartache and the Power of Love","Trisha Yearwood",NA,"Eliminated"
"1504","Season_12","20130220_las_vegas_girls_perform",2,"Tenna Torres","Soulmate","Mac Miller",NA,"Advanced"
"1505","Season_12","20130220_las_vegas_girls_perform",3,"Adriana Latonio","Ain't No Way","DJ Drama,Big Boi,Jeezy,Future",NA,"Advanced"
"1506","Season_12","20130220_las_vegas_girls_perform",4,"Brandy Hotard","Anymore","Travis Tritt",NA,"Eliminated"
"1507","Season_12","20130220_las_vegas_girls_perform",5,"Shubha Vedula","Born This Way","Lady Gaga",NA,"Eliminated"
"1508","Season_12","20130220_las_vegas_girls_perform",6,"Kamaria Ousley","Mr. Know It All","Kelly Clarkson",NA,"Eliminated"
"1509","Season_12","20130220_las_vegas_girls_perform",7,"Kree Harrison","Up to the Mountain","MLK Song",NA,"Advanced"
"1510","Season_12","20130220_las_vegas_girls_perform",8,"Angie Miller","Nobody's Perfect","Hannah Montana",NA,"Advanced"
"1511","Season_12","20130220_las_vegas_girls_perform",9,"Isabelle Pasqualone","God Bless the Child","Billie Holiday",NA,"Eliminated"
"1512","Season_12","20130220_las_vegas_girls_perform",10,"Amber Holcomb","My Funny Valentine","Frank Sinatra",NA,"Advanced"
"1513","Season_12","20130221_las_vegas_guys_perform",1,"Paul Jolley","Tonight I Wanna Cry","Keith Urban",NA,"Advanced"
"1514","Season_12","20130221_las_vegas_guys_perform",2,"Johnny Keyser","I Won't Give Up","Jason Mraz",NA,"Eliminated"
"1515","Season_12","20130221_las_vegas_guys_perform",3,"JDA","Rumour Has It","Adele",NA,"Eliminated"
"1516","Season_12","20130221_las_vegas_guys_perform",4,"Kevin Harris","(Everything I Do) I Do It for You","Bryan Adams",NA,"Eliminated"
"1517","Season_12","20130221_las_vegas_guys_perform",5,"Chris Watson","(Sittin' On) The Dock of the Bay","Otis Redding",NA,"Eliminated"
"1518","Season_12","20130221_las_vegas_guys_perform",6,"Devin Velez","Listen","Marvin Sapp",NA,"Advanced"
"1519","Season_12","20130221_las_vegas_guys_perform",7,"Elijah Liu","Talking to the Moon","Bruno Mars",NA,"Advanced"
"1520","Season_12","20130221_las_vegas_guys_perform",8,"Charlie Askew","Rocket Man","Elton John",NA,"Advanced"
"1521","Season_12","20130221_las_vegas_guys_perform",9,"Jimmy Smith","Raining on Sunday","Keith Urban",NA,"Eliminated"
"1522","Season_12","20130221_las_vegas_guys_perform",10,"Curtis Finch, Jr.","Superstar","USHER",NA,"Advanced"
"1523","Season_12","20130227_las_vegas_girls_perform_2",1,"Melinda Ademi","Nobody's Perfect","Hannah Montana",NA,"Eliminated"
